set,try,generator,time
18,8,numpy,0.006948
18,9,numpy,0.007020
19,0,random,0.002984
19,1,random,0.003990
19,2,random,0.003995
19,3,random,0.004937
19,4,random,0.004034
19,5,random,0.003989
19,6,random,0.004985
19,7,random,0.011960
19,8,random,0.004952
19,9,random,0.003989
19,0,numpy,0.007990
19,1,numpy,0.006939
19,2,numpy,0.010970
19,3,numpy,0.008018
19,4,numpy,0.005990
19,5,numpy,0.006981
19,6,numpy,0.006980
19,7,numpy,0.006984
19,8,numpy,0.005982
19,9,numpy,0.006970
20,0,random,0.003996
20,1,random,0.004973
20,2,random,0.004001
20,3,random,0.002993
20,4,random,0.003988
20,5,random,0.003989
20,6,random,0.003990
20,7,random,0.002992
20,8,random,0.003953
20,9,random,0.004026
20,0,numpy,0.005984
20,1,numpy,0.006944
20,2,numpy,0.005984
20,3,numpy,0.007019
20,4,numpy,0.006988
20,5,numpy,0.006984
20,6,numpy,0.006979
20,7,numpy,0.006981
20,8,numpy,0.005985
20,9,numpy,0.006981
